"personal_id","occupation1","age","p_mig","max_inc"
1860006,NA,33,0,NA
1860006,NA,34,0,NA
1860006,NA,35,0,NA
1860006,NA,36,0,NA
1860006,NA,37,0,NA
1860006,NA,38,0,NA
1860006,NA,39,0,NA
1860006,NA,40,0,NA
1860006,NA,41,0,NA
1860006,NA,42,0,NA
1860006,NA,43,0,NA
1860006,NA,44,0,NA
1860006,NA,45,0,NA
1860006,NA,46,0,NA
1860006,NA,47,0,NA
1860006,NA,48,0,NA
1860006,NA,49,0,NA
1860006,NA,50,0,NA
1860006,NA,51,0,NA
1860006,NA,52,0,NA
1860006,NA,53,0,NA
1860006,NA,54,0,NA
1860006,NA,55,0,NA
1860006,NA,56,0,NA
1860006,NA,57,0,NA
1860006,NA,58,0,NA
1860006,NA,59,0,NA
1860006,NA,60,0,NA
1860006,NA,61,0,NA
1860007,NA,0,0,NA
1860007,NA,1,0,NA
1860007,NA,2,0,NA
1860007,NA,3,0,NA
1860007,NA,4,0,NA
1860007,NA,5,1,NA
1860007,NA,6,0,NA
1860007,NA,7,0,NA
1860007,NA,8,0,NA
1860007,NA,9,0,NA
1860007,NA,10,0,NA
1860007,NA,11,0,NA
1860007,NA,12,0,NA
1860007,NA,13,0,NA
1860007,NA,14,0,NA
1860007,NA,15,0,NA
1860007,NA,16,1,NA
1860007,"piga",17,0,54.6035499572754
1860007,"piga",18,0,54.6035499572754
1860007,"piga",19,1,54.6035499572754
1860007,"piga",20,0,54.6035499572754
1860007,NA,21,1,NA
1860007,NA,22,0,NA
1860007,NA,23,0,NA
1860007,NA,24,0,NA
1860007,NA,25,0,NA
1860007,NA,26,0,NA
1860007,NA,27,0,NA
1860007,NA,28,0,NA
1860007,NA,29,0,NA
1860007,NA,30,0,NA
1860007,NA,31,0,NA
1860007,NA,32,0,NA
1860007,NA,33,0,NA
1860007,NA,34,0,NA
1860007,NA,35,1,NA
1860007,NA,36,0,NA
1860007,NA,37,0,NA
1860007,NA,38,0,NA
1860007,NA,39,0,NA
1860007,NA,40,0,NA
1860007,NA,41,1,NA
1860007,NA,42,0,NA
1860007,NA,43,0,NA
1860007,NA,44,0,NA
1860007,NA,45,0,NA
1860007,NA,46,0,NA
1860007,NA,47,0,NA
1860007,NA,48,0,NA
1860007,NA,49,1,NA
1860007,NA,50,0,NA
1860007,NA,51,0,NA
1860007,NA,52,0,NA
1860007,NA,53,0,NA
1860007,NA,54,0,NA
1860007,NA,55,0,NA
1860007,NA,56,0,NA
1860007,NA,57,0,NA
1860007,NA,58,0,NA
1860007,NA,59,0,NA
1860007,NA,60,0,NA
1860007,NA,61,0,NA
1860007,NA,62,0,NA
1860007,NA,63,0,NA
1860007,NA,64,0,NA
1860007,NA,65,0,NA
1860007,NA,66,0,NA
1860007,NA,67,0,NA
1860007,NA,68,0,NA
1860007,NA,69,0,NA
1860007,NA,70,0,NA
1860007,NA,71,0,NA
1860007,NA,72,0,NA
1860007,NA,73,0,NA
1860007,NA,74,0,NA
1860007,NA,75,0,NA
1860007,NA,76,0,NA
1860007,NA,77,0,NA
1860007,NA,78,0,NA
1860007,NA,79,0,NA
1860007,NA,80,0,NA
